technology,category,parameter,symbol,name,unit,scenario,p.min,p.max,p.mean,p.sd,distribution.code,distribution
Common,Economic,discount rate,disc_rate,discount,,op_space,0.01500,0.06000,0.03750,,1,Uniform
Common,Economic,biomass ash content,bm_ash,bm_ash,,op_space,0.00200,0.10800,0.05500,,1,Uniform
Common,Economic,crop price increase,crop_price_increase,crop_price_increase,,op_space,1.00000,2.16090,1.58045,,1,Uniform
Common,Economic,aglime price,lime_price,aglime_price,$/Mg,op_space,10.00000,80.00000,45.00000,,1,Uniform
Common,Economic,carbon price,c_price,c_price,$/Mg,op_space,1.00000,9740.00000,4870.50000,,3,Log
Common,Economic,electricity price,elec_price,elec_price,$/GJ,op_space,14.60000,201.77920,108.18960,,1,Uniform
Common,Economic,rebound factor,rebound,rebound,,op_space,1.00000,1.00000,1.00000,,1,Uniform
Reference (FF),Economic,C intensity,c_intensity,ff_c_intensity,Mg C / GJf,op_space,0.00000,0.01555,0.00777,,1,Uniform
Reference (FF),Economic,Electric C intensity,c_intensity_e,ffe_c_intensity,Mg C / Gje,op_space,0.00000,0.06818,0.03409,,1,Uniform
Reference (FF),Economic,FF elec efficiency,ff_eff,ff_eff,,op_space,0.38000,0.50000,0.44000,,1,Uniform
BES,Economic,capital cost,bes_cc,bes_cc,$/(Mg f/yr),op_space,315.97157,1175.98443,745.97800,,1,Uniform
BES,Economic,life time of plant,bes_life,bes_life,yr,op_space,25.00000,50.00000,37.50000,,1,Uniform
BES,Energy,conversion efficiency,bes_eff,bes_energy_efficiency,GJ / GJ f,op_space,0.28000,0.45000,0.36500,,1,Uniform
BEBCS,Pyrolysis,Pyro temp,py_temp,py_temp,deg C,op_space,450.00000,650.00000,550.00000,,1,Uniform
BEBCS,Pyrolysis,heat source code,py_e_source,py_e_source,,op_space,1.00000,1.00000,1.00000,,1,Uniform
BEBCS,Energy,electricity gen efficiency,py_elec_eff,py_elec_eff,,op_space,0.28000,0.45000,0.36500,,1,Uniform
BEBCS,Economic,capital cost,bebcs_cc,bebcs_cc,,op_space,268.16996,687.07599,477.62297,,1,Uniform
BEBCS,Economic,life time of plant ratio to BES,bebcstobe_life_ratio,bebcs_life_ratio,,op_space,1.00000,1.00000,1.00000,,1,Uniform
BEBCS,Economic,biochar haulage cost,bc_haul_cost,bc_haul_cost,$/Mg f,op_space,0.26000,50.78528,25.52264,,1,Uniform
BEBCS,Economic,biochar field operations,bc_field_cost,bc_field_cost,$/ha,op_space,0.00000,175.61600,87.80800,,1,Uniform
BEBCS,GHG feedbacks,unamended N additions,n_app_rate,n_app_rate,kg/ha/yr,op_space,25.00000,200.00000,112.50000,,1,Uniform
BEBCS,GHG feedbacks,N2O feedback factor,n2o_factor,n2o_factor,%n2o / (Mg/ha),op_space,0.00171,0.01538,0.00855,,1,Uniform
BEBCS,GHG feedbacks,years of N2O effect,n2o_years,n2o_years,yr,op_space,1.00000,100.00000,50.50000,,3,Log
BEBCS,GHG feedbacks,SOC feedback factor,soc_factor,priming_factor,,op_space,-0.03000,0.30000,0.13500,,1,Uniform
BEBCS,GHG feedbacks,biochar haulage CO2,bc_haul_co2,bc_haul_c,Mg C / Mgf,op_space,0.00002,0.00139,0.00071,,1,Uniform
BEBCS,Soil,SOC,soc,soc,%,op_space,0.00010,0.06000,0.03005,,1,Uniform
BEBCS,Soil,application rate,app_rate,bc_app_rate,Mg/ha,op_space,5.00000,30.00000,17.50000,,1,Uniform
BEBCS,Soil,biochar nutrient vlaue,bc_nutrient,bc_nutrient_value,$/Mg f,op_space,0.00000,16.49413,8.24707,,1,Uniform
BEBCS,Soil,biochar grain yield impact ,bc_yield_impact,bc_yield_value,$ / yr / Mg bc,op_space,0.00000,62.79000,31.39500,,1,Uniform
BEBCS,Soil,stability factor,bc_stab_fact,bc_stab_factor,,op_space,,,4.89000,1.80000,2,Normal
BECCS,Economic,cost of ccs,ccs_cost,ccs_cc,$/Mg C captured,op_space,87.00853,865.27692,476.14273,,1,Uniform
BECCS,Economic,efficiency penalty (rel BES),beccs_eff_penalty,beccs_eff_penalty,,op_space,0.03200,0.11000,0.07100,,1,Uniform
BECCS,Economic,CO2 sequestration fraction,beccs_seq_fraction,beccs_seq_fraction,,op_space,0.81000,0.92800,0.86900,,1,Uniform
Common,Economic,discount rate,disc_rate,discount,,2014,0.01500,0.06000,0.03000,,1,Uniform
Common,Economic,biomass ash content,bm_ash,bm_ash,,2014,0.00200,0.10800,0.05500,,1,Uniform
Common,Economic,crop price increase,crop_price_increase,crop_price_increase,,2014,1.00000,1.00000,1.00000,,1,Uniform
Common,Economic,aglime price,lime_price,aglime_price,$/Mg,2014,10.00000,80.00000,45.00000,,1,Uniform
Common,Economic,carbon price,c_price,c_price,$/Mg,2014,1.00000,55.00000,28.00000,,3,Log
Common,Economic,electricity price,elec_price,elec_price,$/GJ,2014,14.60000,56.30000,35.45000,,1,Uniform
Common,Economic,rebound factor,rebound,rebound,,2014,1.00000,1.00000,1.00000,,1,Uniform
Reference (FF),Economic,C intensity,c_intensity,ff_c_intensity,Mg C / GJf,2014,0.00000,0.01555,0.00777,,1,Uniform
Reference (FF),Economic,Electric C intensity,c_intensity_e,ffe_c_intensity,Mg C / Gje,2015,0.00000,0.06818,0.03409,,1,Uniform
Reference (FF),Economic,FF elec efficiency,ff_eff,ff_eff,,2014,0.38000,0.50000,0.44000,,1,Uniform
BES,Economic,capital cost,bes_cc,bes_cc,$/(Mg f/yr),2014,470.39377,1175.98443,823.18910,,1,Uniform
BES,Economic,life time of plant,bes_life,bes_life,yr,2014,25.00000,50.00000,37.50000,,1,Uniform
BES,Energy,conversion efficiency,bes_eff,bes_energy_efficiency,GJ / GJ f,2014,0.28000,0.40000,0.34000,,1,Uniform
BEBCS,Pyrolysis,Pyro temp,py_temp,py_temp,deg C,2014,450.00000,650.00000,550.00000,,1,Uniform
BEBCS,Pyrolysis,heat source code,py_e_source,py_e_source,,2014,1.00000,1.00000,1.00000,,1,Uniform
BEBCS,Energy,electricity gen efficiency,py_elec_eff,py_elec_eff,,2014,0.28000,0.40000,0.45000,,1,Uniform
BEBCS,Economic,capital cost,bebcs_cc,bebcs_cc,,2014,294.46114,687.07599,490.76856,,1,Uniform
BEBCS,Economic,life time of plant ratio to BES,bebcstobe_life_ratio,bebcs_life_ratio,,2014,1.00000,1.00000,1.00000,,1,Uniform
BEBCS,Economic,biochar haulage cost,bc_haul_cost,bc_haul_cost,$/Mg f,2014,0.26000,14.17000,7.21500,,1,Uniform
BEBCS,Economic,biochar field operations,bc_field_cost,bc_field_cost,$/ha,2014,0.00000,49.00000,24.50000,,1,Uniform
